1970 0.999 3.721 84.62
1971 1.062 3.789 83.93
1972 1.166 4.031 85.27
1973 1.396 4.543 80.51
1974 1.437 4.212 85.58
1975 1.523 4.106 88.15
1976 1.456 3.698 94.36
1977 1.458 3.477 91.76
1978 1.787 3.960 87.29
1979 2.222 4.423 78.10
1980 2.337 4.098 76.56
1981 2.347 3.731 77.26
1982 2.384 3.570 77.03
1983 2.341 3.396 78.64
1984 2.354 3.274 78.41
1985 2.285 3.069 79.19
1986 2.267 2.989 78.83
1987 2.384 3.032 73.84
1988 2.503 3.057 72.65
1989 2.657 3.096 69.34
1990 2.810 3.107 67.78
1991 2.883 3.059 66.79
1992 2.846 2.931 66.48
1993 2.934 2.934 65.06
