 1 115 190.70 right
 2  96 138.52 right
 3 110 165.08 right
 4 100 126.19 right
 5 111 163.19 right
 6 101 305.66 right
 7 111 176.15 right
 8 106 162.78 right
 9  96 147.87 right
10  96 271.46 right
11  95  40.25 right
12  96  24.76 right
13  96 104.80 right
14 106 136.80 right
15 100 308.60 right
16 113 279.80 right
17 123 125.51 right
18 111 329.80 right
19  95  51.66 right
20 108 201.95 right
21 240 190.70  left
22 190 138.52  left
23 170 165.08  left
24 125 126.19  left
25 315 163.19  left
26 240 305.66  left
27 141 176.15  left
28 210 162.78  left
29 200 147.87  left
30 401 271.46  left
31 320  40.25  left
32 113  24.76  left
33 176 104.80  left
34 211 136.80  left
35 238 308.60  left
36 316 279.80  left
37 176 125.51  left
38 173 329.80  left
39 210  51.66  left
40 170 201.95  left
