SMSA	Coverage	DTC	Age	Years	Specialty	Subscribe	Num Hospital	Conference	Practice Size	Visits	Program	Details Nosorr	Details Paenex	Details Other	Total Details	Mention Nosor	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	Rx Nosorr	Rx Paenex	Rx Other	TotalRx	TherDays Nosorr	TherDays Paenex	TherDays Other	
Suffolk	0.96	2	50	31	PD	NO	4	YES	2	149	NO	1	2	2	5	5	15	23	50	21	4	23	22	49	16	185	138	
Suffolk	0.96	2	63	33	RH	NO	2	NO	1	372	YES	3	5	2	10	13	53	46	164	23	49	176	140	365	920	3145	2536	
Suffolk	0.96	2	42	19	PD	NO	5	YES	17	642	NO	8	3	6	17	20	67	150	83	65	140	76	44	260	826	410	229	
Suffolk	0.96	2	38	10	PD	NO	5	YES	4	208	NO	2	3	3	8	4	7	24	94	36	17	48	22	87	85	290	104	
Suffolk	0.96	2	45	14	PD	NO	5	YES	1	90	NO	1	1	2	4	2	8	16	25	13	18	10	14	42	62	56	109	
Suffolk	0.96	2	48	24	GP	YES	3	YES	3	252	NO	4	2	3	9	9	29	66	63	31	65	100	45	210	642	886	379	
Suffolk	0.96	2	33	5	RH	NO	3	YES	7	593	YES	3	2	8	13	7	26	47	64	81	21	96	238	355	371	1860	4411	
Suffolk	0.96	2	51	17	GP	YES	4	NO	2	200	YES	1	2	4	7	2	8	22	64	38	47	61	76	184	447	623	697	
Suffolk	0.96	2	65	40	RH	YES	0	YES	1	559	YES	1	3	8	12	3	13	29	113	83	81	126	172	379	1383	2433	3350	
Suffolk	0.96	2	37	10	GP	NO	4	YES	2	329	YES	2	4	4	10	6	24	41	128	35	68	97	71	236	556	836	636	
Suffolk	0.96	2	35	3	GP	NO	2	NO	2	218	NO	4	2	4	10	12	38	89	53	27	44	41	38	123	344	319	375	
Suffolk	0.96	2	47	22	PD	NO	3	NO	5	216	YES	1	2	5	8	4	16	13	70	52	11	24	60	95	67	155	407	
Suffolk	0.96	2	38	5	RH	NO	5	YES	5	676	NO	3	2	11	16	16	33	51	66	72	117	36	359	512	2355	718	6923	
Suffolk	0.96	2	60	41	PD	YES	0	YES	7	309	YES	3	4	4	11	7	22	67	99	36	8	47	25	80	54	242	164	
Suffolk	0.96	2	64	28	GP	NO	0	NO	4	333	YES	2	5	8	15	8	25	48	147	95	27	62	86	175	267	574	789	
Suffolk	0.96	2	61	34	PD	YES	5	YES	10	415	NO	5	4	3	12	17	48	99	99	21	58	84	56	198	408	502	359	
Suffolk	0.96	2	62	34	RH	NO	4	NO	4	503	NO	3	4	9	16	7	20	58	118	110	118	100	146	364	2425	1992	2900	
Suffolk	0.96	2	31	7	RH	NO	3	NO	5	503	NO	3	4	6	13	9	24	72	111	52	72	82	100	254	1461	1658	1879	
Suffolk	0.96	2	57	26	PD	YES	5	YES	3	186	NO	3	1	3	7	10	31	67	22	36	37	5	21	63	255	19	120	
Suffolk	0.96	2	37	5	PD	NO	2	NO	4	205	YES	1	2	6	9	4	13	18	58	48	7	29	22	58	25	144	112	
Petersburg	0.8	5	30	0	GP	YES	5	YES	4	387	YES	1	4	6	11	5	11	20	122	62	67	60	50	177	570	580	468	
Petersburg	0.8	5	51	23	PD	NO	2	YES	4	168	NO	4	1	3	8	9	25	74	33	42	37	14	32	83	175	69	209	
Petersburg	0.8	5	50	19	PD	YES	5	YES	2	109	NO	1	2	1	4	1	5	16	64	10	20	5	25	50	112	52	142	
Petersburg	0.8	5	53	26	RH	YES	0	NO	3	503	YES	5	2	4	11	22	57	108	72	47	142	153	131	426	2465	2806	2509	
Petersburg	0.8	5	44	24	RH	NO	2	YES	1	333	YES	2	7	2	11	11	32	42	160	13	13	135	124	272	264	2632	2122	
Petersburg	0.8	5	30	0	PD	YES	5	YES	3	143	NO	1	2	5	8	2	6	30	50	57	7	28	39	74	47	178	165	
Petersburg	0.8	5	33	10	RH	YES	5	NO	2	489	NO	3	2	5	10	12	42	80	60	43	110	38	131	279	1945	693	2429	
Petersburg	0.8	5	48	20	GP	NO	5	YES	8	455	NO	5	3	7	15	14	35	97	78	66	154	102	119	375	1346	884	1083	
Petersburg	0.8	5	39	7	GP	YES	5	YES	1	240	NO	3	1	4	8	11	47	65	25	44	88	44	57	189	804	413	469	
Petersburg	0.8	5	50	25	PD	YES	5	YES	6	326	NO	2	1	1	4	6	21	33	27	16	67	48	66	181	425	247	348	
