SMSA	Coverage	DTC	Age	Years	Specialty	Subscribe	Num Hospital	Conference	Practice Size	Visits	Program	Details Nosorr	Details Paenex	Details Other	Total Details	Mention Nosor	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	Rx Nosorr	Rx Paenex	Rx Other	TotalRx	TherDays Nosorr	TherDays Paenex	TherDays Other	
Daytona	0.87	2	52	31	GP	NO	5	YES	4	334	NO	5	4	10	19	14	58	97	116	115	53	29	98	180	542	285	921	
Daytona	0.87	2	55	34	GP	NO	2	NO	2	229	YES	2	2	5	9	7	20	35	80	46	19	56	59	134	173	515	566	
Daytona	0.87	2	33	5	GP	YES	3	NO	4	290	YES	2	6	6	14	5	19	36	162	68	19	54	60	133	163	474	598	
Daytona	0.87	2	39	13	RH	NO	1	NO	4	547	YES	2	3	11	16	8	23	46	106	101	97	102	160	359	1762	2143	2820	
Daytona	0.87	2	37	15	RH	NO	2	NO	6	676	YES	4	7	8	19	11	34	63	162	86	97	110	141	348	1886	2177	2768	
Daytona	0.87	2	40	18	GP	NO	5	YES	14	520	NO	8	8	10	26	28	73	191	224	99	96	81	97	274	852	711	872	
Daytona	0.87	2	43	6	GP	YES	5	YES	6	423	NO	7	3	6	16	22	69	131	101	62	52	35	98	185	426	295	936	
Daytona	0.87	2	44	17	RH	YES	5	NO	3	364	NO	3	5	10	18	9	28	56	138	96	47	66	126	239	954	1227	2334	
Daytona	0.87	2	34	11	PD	YES	5	YES	2	131	YES	3	2	2	7	11	37	66	66	27	23	13	9	45	103	81	60	
Daytona	0.87	2	62	30	GP	NO	4	YES	4	342	YES	5	4	8	17	10	30	106	124	78	66	26	68	160	587	253	626	
Daytona	0.87	2	55	31	PD	YES	5	NO	6	315	NO	5	2	8	15	22	60	90	66	94	50	14	40	104	275	57	223	
Daytona	0.87	2	55	26	RH	NO	4	YES	4	559	NO	11	9	10	30	44	139	204	278	112	128	183	127	438	2603	3469	2490	
Daytona	0.87	2	31	7	RH	NO	4	NO	8	686	YES	6	9	7	22	19	54	113	314	62	141	191	195	527	2672	3649	3678	
Daytona	0.87	2	48	23	GP	YES	3	NO	3	295	NO	3	2	8	13	8	18	62	52	92	74	31	94	199	735	284	789	
Daytona	0.87	2	34	2	RH	YES	5	YES	4	445	NO	3	6	8	17	14	41	53	176	72	48	127	99	274	867	2112	1877	
Daytona	0.87	2	31	3	GP	YES	3	YES	3	293	NO	6	2	3	11	22	70	107	32	31	52	52	41	145	492	446	362	
Daytona	0.87	2	59	28	GP	YES	4	YES	3	203	NO	1	1	2	4	6	19	20	37	29	23	23	26	72	251	211	254	
Daytona	0.87	2	47	15	PD	YES	5	YES	1	160	NO	2	1	2	5	4	14	42	29	19	37	8	20	65	209	39	116	
Daytona	0.87	2	45	16	PD	NO	4	NO	2	114	YES	2	1	4	7	8	20	41	23	21	23	7	16	46	133	36	90	
Wilkes Barre	0.88	1.5	39	17	GP	YES	4	YES	8	348	YES	3	4	9	16	11	34	65	115	67	83	38	87	208	752	351	820	
