SMSA	Coverage	DTC	Age	Years	Specialty	Subscribe	Num Hospital	Conference	Practice Size	Visits	Program	Details Nosorr	Details Paenex	Details Other	Total Details	Mention Nosor	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	Rx Nosorr	Rx Paenex	Rx Other	TotalRx	TherDays Nosorr	TherDays Paenex	TherDays Other	
Gary	0.84	1.5	31	12	PD	NO	5	YES	5	243	YES	2	1	3	6	7	31	46	38	35	62	26	45	133	344	168	329	
Gary	0.84	1.5	52	26	PD	YES	5	YES	4	221	NO	2	2	6	10	7	18	48	62	50	34	20	33	87	159	120	240	
Gary	0.84	1.5	50	29	RH	NO	1	NO	13	758	NO	6	10	7	23	12	53	130	320	79	140	241	189	570	2623	4500	3529	
Gary	0.84	1.5	33	0	PD	NO	3	YES	5	285	NO	1	3	2	6	4	12	18	84	24	62	35	40	137	312	206	271	
Gary	0.84	1.5	49	27	PD	YES	1	YES	7	338	YES	4	1	4	9	8	18	76	34	33	63	61	47	171	375	360	277	
Gary	0.84	1.5	48	14	RH	YES	3	NO	6	654	NO	5	3	8	16	24	57	87	96	83	151	149	234	534	2815	2742	4364	
Gary	0.84	1.5	52	26	GP	YES	3	YES	9	481	YES	5	6	4	15	20	62	101	180	41	135	130	131	396	1197	1161	1097	
Gary	0.84	1.5	59	28	RH	YES	2	NO	1	387	YES	2	4	5	11	8	33	46	130	56	55	46	98	199	1132	807	1767	
Gary	0.84	1.5	37	18	RH	NO	5	YES	2	460	NO	2	1	8	11	7	26	35	23	71	77	44	231	352	1487	844	4372	
Gary	0.84	1.5	55	20	PD	YES	1	NO	1	135	YES	5	2	4	11	13	50	111	74	46	20	11	11	42	120	82	45	
Gary	0.84	1.5	64	37	RH	YES	4	YES	9	680	NO	7	7	10	24	27	77	144	229	109	141	119	274	534	2699	2057	4955	
Gary	0.84	1.5	38	17	GP	YES	3	NO	7	360	YES	3	5	10	18	5	22	63	139	103	55	58	74	187	423	546	619	
Gary	0.84	1.5	38	0	PD	NO	2	YES	4	224	YES	1	5	5	11	9	26	35	155	42	14	18	28	60	84	117	151	
