SMSA	Coverage	DTC	Age	Years	Specialty	Subscribe	Num Hospital	Conference	Practice Size	Visits	Program	Details Nosorr	Details Paenex	Details Other	Total Details	Mention Nosor	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	Rx Nosorr	Rx Paenex	Rx Other	TotalRx	TherDays Nosorr	TherDays Paenex	TherDays Other	
Colorado Springs	0.8	1.5	43	15	PD	YES	1	YES	1	127	NO	4	2	3	9	17	49	84	66	29	20	10	18	48	127	60	136	
Colorado Springs	0.8	1.5	61	31	GP	YES	2	YES	5	324	YES	3	2	5	10	12	29	57	58	57	50	25	82	157	482	243	744	
Colorado Springs	0.8	1.5	59	25	RH	NO	2	NO	3	512	YES	5	2	5	12	13	42	115	56	47	173	73	124	370	3136	1512	2324	
Colorado Springs	0.8	1.5	37	7	GP	YES	3	YES	4	351	YES	3	2	4	9	10	37	63	57	25	89	72	88	249	832	625	762	
Colorado Springs	0.8	1.5	57	27	RH	NO	1	NO	7	555	YES	4	7	7	18	9	25	83	220	81	108	196	118	422	2087	3918	2277	
Colorado Springs	0.8	1.5	39	13	GP	YES	0	NO	6	400	YES	2	7	8	17	6	16	46	198	61	18	83	47	148	134	812	432	
Colorado Springs	0.8	1.5	39	11	GP	NO	2	NO	8	410	NO	3	3	9	15	8	26	61	97	88	60	57	135	252	558	535	1169	
Colorado Springs	0.8	1.5	35	14	RH	NO	2	YES	2	494	YES	1	5	8	14	4	14	15	168	80	168	141	302	611	3250	2692	5755	
Colorado Springs	0.8	1.5	33	8	GP	YES	5	YES	4	307	YES	2	1	9	12	6	23	27	40	75	35	7	105	147	308	73	895	
Colorado Springs	0.8	1.5	57	26	RH	YES	2	NO	3	595	YES	5	6	6	17	13	45	92	205	68	155	134	192	481	3004	2604	3700	
Colorado Springs	0.8	1.5	45	29	GP	NO	0	NO	7	417	NO	2	4	7	13	9	18	34	118	62	66	89	130	285	610	830	1230	
Colorado Springs	0.8	1.5	63	30	RH	NO	2	NO	5	511	YES	7	5	8	20	33	90	135	169	62	134	174	141	449	2310	3604	2594	
Colorado Springs	0.8	1.5	54	32	RH	YES	2	NO	2	320	NO	4	3	8	15	18	58	95	78	71	109	40	110	259	2269	703	2138	
Colorado Springs	0.8	1.5	42	16	RH	NO	2	NO	2	571	YES	3	5	8	16	12	42	53	153	100	70	161	134	365	1337	2838	2684	
Colorado Springs	0.8	1.5	64	44	PD	NO	1	NO	1	93	YES	2	1	1	4	6	17	33	30	14	3	4	13	20	31	27	47	
Colorado Springs	0.8	1.5	45	16	GP	NO	2	NO	5	301	YES	3	7	6	16	6	19	51	171	59	34	74	64	172	265	652	628	
Colorado Springs	0.8	1.5	38	14	RH	NO	1	NO	4	520	YES	1	4	9	14	4	11	15	101	86	84	153	172	409	1762	2910	3281	
