SMSA	Coverage	DTC	Age	Years	Specialty	Subscribe	Num Hospital	Conference	Practice Size	Visits	Program	Details Nosorr	Details Paenex	Details Other	Total Details	Mention Nosor	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	Rx Nosorr	Rx Paenex	Rx Other	TotalRx	TherDays Nosorr	TherDays Paenex	TherDays Other	
Denver	0.93	3	46	18	RH	YES	3	NO	3	456	NO	5	7	7	19	17	55	71	186	59	102	106	76	284	1896	2101	1421	
Denver	0.93	3	55	37	PD	YES	1	NO	3	204	YES	2	2	6	10	10	34	60	59	67	19	29	32	80	80	223	190	
Denver	0.93	3	31	3	GP	NO	4	NO	5	362	YES	7	4	6	17	21	62	124	122	54	69	60	90	219	632	478	846	
Denver	0.93	3	36	1	PD	YES	3	YES	6	277	NO	6	2	6	14	20	59	132	54	55	54	14	48	116	318	87	293	
Denver	0.93	3	38	8	PD	NO	3	NO	6	286	NO	8	1	9	18	28	99	184	38	88	27	26	40	93	174	93	234	
Denver	0.93	3	53	33	PD	YES	5	NO	2	125	NO	1	1	3	5	2	6	21	18	28	22	8	20	50	149	39	135	
Denver	0.93	3	63	29	PD	NO	4	NO	2	104	YES	1	2	2	5	1	5	26	54	21	18	15	10	43	92	71	85	
Denver	0.93	3	55	33	RH	NO	2	NO	2	531	YES	5	2	12	19	18	57	96	53	111	110	89	161	360	1893	1814	2960	
Denver	0.93	3	49	22	GP	YES	5	NO	2	302	NO	3	3	7	13	14	35	66	94	52	18	32	67	117	171	296	557	
Denver	0.93	3	55	33	RH	YES	2	YES	3	540	NO	5	1	9	15	12	41	98	39	91	310	117	252	679	6028	2289	4706	
Denver	0.93	3	62	41	PD	YES	2	NO	2	181	YES	1	2	4	7	7	23	18	66	38	10	14	14	38	56	58	74	
Denver	0.93	3	42	24	GP	YES	5	YES	11	540	NO	8	5	9	22	35	116	158	128	89	182	147	132	461	1556	1419	1156	
Denver	0.93	3	43	21	PD	YES	4	YES	4	200	NO	2	2	3	7	9	29	36	56	23	10	15	25	50	71	68	175	
