SMSA	Coverage	DTC	Age	Years	Specialty	Subscribe	Num Hospital	Conference	Practice Size	Visits	Program	Details Nosorr	Details Paenex	Details Other	Total Details	Mention Nosor	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	Rx Nosorr	Rx Paenex	Rx Other	TotalRx	TherDays Nosorr	TherDays Paenex	TherDays Other	
Honolulu	0.97	1	38	15	GP	YES	3	NO	6	287	NO	3	2	4	9	9	37	63	57	37	84	77	49	210	781	639	444	
Honolulu	0.97	1	61	28	GP	NO	1	NO	5	365	YES	2	7	7	16	8	23	34	216	64	48	95	88	231	425	845	773	
Honolulu	0.97	1	63	38	PD	YES	5	YES	4	194	NO	6	2	3	11	26	74	140	60	28	35	26	12	73	201	146	81	
Honolulu	0.97	1	30	0	RH	YES	3	YES	1	475	YES	2	5	7	14	8	18	42	148	75	178	200	178	556	3397	3869	3490	
Honolulu	0.97	1	34	12	RH	NO	2	YES	1	328	YES	2	4	4	10	4	14	24	111	32	23	33	85	141	392	552	1810	
Honolulu	0.97	1	58	29	PD	NO	5	YES	5	206	NO	2	3	4	9	7	14	35	104	33	19	28	19	66	134	163	106	
Honolulu	0.97	1	34	1	GP	NO	5	YES	5	291	NO	3	2	6	11	6	24	70	58	68	44	26	88	158	464	214	851	
Honolulu	0.97	1	65	44	RH	YES	5	YES	4	507	NO	2	4	6	12	7	25	30	116	80	38	125	98	261	670	2301	1870	
Honolulu	0.97	1	32	9	PD	NO	3	NO	3	198	YES	4	2	5	11	11	28	75	85	62	31	21	47	99	171	79	275	
Honolulu	0.97	1	33	11	GP	YES	3	NO	2	201	NO	2	3	5	10	11	37	34	93	50	42	51	47	140	318	425	414	
Honolulu	0.97	1	54	20	GP	NO	5	NO	9	413	NO	3	2	9	14	6	19	73	73	91	41	23	165	229	351	226	1525	
Honolulu	0.97	1	54	35	PD	YES	5	YES	2	165	NO	1	3	4	8	9	33	16	75	43	22	30	27	79	119	184	161	
Honolulu	0.97	1	50	22	GP	NO	3	YES	2	203	NO	3	3	6	12	13	45	55	91	59	27	40	47	114	221	310	391	
Honolulu	0.97	1	54	21	PD	NO	4	YES	5	253	NO	4	3	6	13	11	36	92	100	62	38	29	44	111	237	166	246	
