SMSA	Coverage	DTC	Age	Years	Specialty	Subscribe	Num Hospital	Conference	Practice Size	Visits	Program	Details Nosorr	Details Paenex	Details Other	Total Details	Mention Nosor	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	Rx Nosorr	Rx Paenex	Rx Other	TotalRx	TherDays Nosorr	TherDays Paenex	TherDays Other	
Fort Worth	0.88	1.5	39	9	PD	YES	5	NO	3	143	NO	2	1	5	8	8	18	38	35	61	5	6	21	32	26	41	94	
Fort Worth	0.88	1.5	62	32	RH	NO	3	NO	4	622	NO	5	6	9	20	19	59	105	167	82	121	85	147	353	2333	1833	2813	
Fort Worth	0.88	1.5	53	26	RH	YES	5	YES	5	467	NO	4	4	10	18	16	40	82	126	95	80	103	171	354	1612	2093	3088	
Fort Worth	0.88	1.5	52	18	RH	YES	2	NO	6	640	YES	3	7	16	26	15	42	53	198	145	32	128	215	375	614	2455	4239	
Fort Worth	0.88	1.5	57	29	RH	YES	4	YES	3	453	NO	4	2	6	12	6	20	91	59	54	91	71	54	216	1766	1337	1166	
Fort Worth	0.88	1.5	62	35	GP	NO	4	YES	4	304	YES	3	2	8	13	15	52	62	60	65	103	44	51	198	880	419	497	
Fort Worth	0.88	1.5	54	26	GP	NO	3	NO	4	217	YES	3	2	7	12	11	34	60	60	61	27	23	44	94	271	214	411	
Fort Worth	0.88	1.5	38	12	PD	NO	4	YES	2	169	YES	5	4	4	13	15	49	118	129	36	17	15	26	58	99	112	136	
Fort Worth	0.88	1.5	39	14	RH	NO	4	NO	2	446	YES	2	5	9	16	8	20	49	159	85	35	159	107	301	644	3074	2103	
Fort Worth	0.88	1.5	36	14	RH	NO	3	YES	6	556	YES	4	5	11	20	10	30	98	156	108	61	51	83	195	1253	1097	1387	
Fort Worth	0.88	1.5	52	32	RH	YES	3	NO	3	431	YES	5	5	6	16	18	57	105	126	61	72	31	149	252	1406	492	2827	
Fort Worth	0.88	1.5	59	37	PD	NO	2	NO	3	218	YES	3	3	3	9	6	11	59	98	31	4	10	23	37	34	68	111	
Fort Worth	0.88	1.5	59	27	GP	YES	5	YES	1	168	NO	2	2	6	10	6	18	45	51	66	13	20	30	63	108	183	260	
Fort Worth	0.88	1.5	47	28	GP	NO	3	NO	1	284	YES	4	2	4	10	12	34	51	68	35	49	43	65	157	453	400	606	
Fort Worth	0.88	1.5	58	36	GP	YES	4	NO	6	297	YES	2	4	5	11	8	21	41	121	68	32	24	61	117	257	212	573	
Fort Worth	0.88	1.5	32	7	GP	NO	0	NO	3	313	YES	6	2	3	11	21	73	135	49	25	73	63	65	201	672	572	514	
Fort Worth	0.88	1.5	54	25	RH	YES	4	YES	2	563	NO	6	10	13	29	15	43	120	273	135	138	162	153	453	2692	3071	2704	
Fort Worth	0.88	1.5	52	20	RH	YES	1	YES	2	350	YES	6	6	3	15	15	36	109	142	29	94	95	96	285	1892	1777	1923	
Fort Worth	0.88	1.5	37	9	RH	NO	5	NO	5	616	NO	5	10	11	26	18	58	94	302	96	164	199	150	513	2894	3559	2682	
Buffalo	0.85	1	38	13	PD	NO	4	YES	3	131	NO	3	2	3	8	10	36	54	76	29	33	19	15	67	185	84	86	
Buffalo	0.85	1	46	17	PD	NO	2	NO	9	392	NO	5	6	5	16	18	55	104	177	49	51	27	28	106	321	156	141	
Buffalo	0.85	1	32	7	GP	NO	4	YES	3	386	YES	5	4	4	13	10	23	95	151	46	118	87	57	262	1036	859	511	
Buffalo	0.85	1	36	6	GP	NO	5	YES	4	252	NO	4	3	6	13	9	31	100	114	61	47	53	17	117	447	523	170	
Buffalo	0.85	1	57	28	RH	NO	1	NO	4	534	NO	4	6	8	18	11	37	81	155	63	64	120	86	270	1230	2023	1671	
Buffalo	0.85	1	57	34	GP	YES	4	YES	4	444	NO	2	6	7	15	9	31	40	164	84	34	109	134	277	267	1037	1168	
Buffalo	0.85	1	47	16	PD	YES	5	YES	6	225	NO	4	2	2	8	16	43	62	49	23	35	17	23	75	205	114	170	
Buffalo	0.85	1	35	0	GP	NO	2	NO	7	394	YES	4	4	12	20	14	41	74	111	112	35	63	86	184	323	581	802	
Buffalo	0.85	1	64	38	RH	NO	3	NO	3	596	YES	7	4	11	22	22	68	158	115	130	114	110	237	461	2068	2055	4500	
Buffalo	0.85	1	59	25	PD	NO	0	NO	1	91	YES	2	1	2	5	12	27	48	34	32	17	2	6	25	63	6	40	
Buffalo	0.85	1	44	22	RH	NO	3	NO	2	404	YES	5	3	9	17	21	67	105	65	104	135	46	146	327	2462	833	2742	
Buffalo	0.85	1	58	36	RH	NO	2	YES	5	496	YES	1	8	11	20	3	6	29	222	113	28	216	157	401	563	4313	3005	
Buffalo	0.85	1	61	30	PD	YES	5	YES	3	197	NO	1	1	3	5	3	6	21	29	46	23	13	13	49	144	66	102	
Buffalo	0.85	1	57	28	PD	YES	5	NO	8	210	YES	3	2	4	9	11	44	71	58	52	15	17	26	58	86	96	131	
Buffalo	0.85	1	43	22	GP	YES	5	YES	3	405	NO	7	4	13	24	21	78	129	121	113	93	52	103	248	853	455	970	
Buffalo	0.85	1	41	21	GP	YES	5	YES	5	412	NO	4	4	6	14	11	29	83	126	52	79	47	111	237	730	443	1077	
Buffalo	0.85	1	33	14	GP	NO	4	YES	8	397	NO	4	6	6	16	10	28	64	171	40	65	56	100	221	526	477	870	
Buffalo	0.85	1	50	19	GP	NO	1	NO	6	429	YES	6	2	3	11	18	48	142	53	24	110	51	78	239	1033	500	707	
