SMSA	Coverage	DTC	Age	Years	Specialty	Subscribe	Num Hospital	Conference	Practice Size	Visits	Program	Details Nosorr	Details Paenex	Details Other	Total Details	Mention Nosor	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	Rx Nosorr	Rx Paenex	Rx Other	TotalRx	TherDays Nosorr	TherDays Paenex	TherDays Other	
Phoenix	0.98	2	63	42	PD	NO	1	NO	5	259	YES	2	1	2	5	6	19	44	23	19	15	29	11	55	83	136	45	
Phoenix	0.98	2	46	16	PD	YES	5	YES	7	352	NO	4	5	7	16	15	43	89	125	78	46	39	31	116	262	246	151	
Phoenix	0.98	2	36	8	GP	NO	5	YES	6	428	NO	1	5	4	10	1	0	23	139	43	39	79	110	228	382	638	964	
Phoenix	0.98	2	61	32	RH	YES	5	YES	4	446	NO	2	5	2	9	8	23	46	122	17	75	163	113	351	1411	3237	2254	
Phoenix	0.98	2	31	1	GP	NO	1	YES	6	392	YES	2	4	5	11	9	23	45	123	45	66	114	102	282	619	1031	988	
Phoenix	0.98	2	60	30	GP	NO	2	YES	4	243	NO	3	5	2	10	9	32	54	188	17	55	25	32	112	524	236	247	
Phoenix	0.98	2	37	9	PD	NO	3	NO	3	214	YES	2	1	2	5	6	19	45	22	19	29	12	21	62	143	44	97	
Phoenix	0.98	2	42	18	PD	NO	1	NO	7	254	YES	2	1	4	7	11	37	36	35	47	23	35	42	100	151	251	233	
Phoenix	0.98	2	59	28	RH	YES	5	YES	6	529	NO	6	5	11	22	23	69	96	152	122	173	76	154	403	3531	1432	2961	
Phoenix	0.98	2	32	9	RH	NO	4	YES	3	497	YES	5	5	6	16	19	64	120	151	57	160	105	96	361	3054	1961	1768	
Phoenix	0.98	2	53	23	PD	YES	5	YES	4	224	NO	1	3	4	8	2	8	35	77	56	14	39	12	65	80	229	99	
Phoenix	0.98	2	40	12	GP	NO	5	NO	5	325	YES	3	1	5	9	4	14	69	18	57	55	29	95	179	508	268	743	
Phoenix	0.98	2	41	12	GP	YES	5	YES	5	210	NO	6	2	2	10	29	94	125	45	33	46	28	29	103	448	235	236	
Phoenix	0.98	2	34	2	GP	NO	1	NO	13	621	YES	7	3	7	17	31	85	134	103	77	162	122	207	491	1389	1126	1824	
Phoenix	0.98	2	32	1	RH	NO	2	YES	6	515	NO	3	5	5	13	15	40	73	145	56	73	184	122	379	1335	3512	2232	
Phoenix	0.98	2	63	33	RH	NO	0	NO	2	394	YES	4	3	8	15	11	37	70	93	58	20	123	132	275	350	2467	2553	
Phoenix	0.98	2	52	29	GP	NO	5	NO	2	215	YES	2	1	6	9	9	37	48	40	48	40	22	71	133	335	177	612	
Phoenix	0.98	2	57	25	RH	NO	3	NO	6	534	YES	3	4	7	14	5	12	65	128	81	135	200	83	418	2512	3792	1571	
Phoenix	0.98	2	65	40	RH	YES	1	NO	6	571	NO	6	5	4	15	19	58	133	169	46	207	171	62	440	3902	3159	1099	
Passaic	0.9399999999999999	1	49	16	GP	NO	5	YES	1	225	NO	3	4	2	9	9	33	74	119	17	44	55	46	145	359	432	449	
Passaic	0.9399999999999999	1	42	14	RH	YES	4	NO	3	605	NO	3	6	6	15	11	38	53	167	55	85	223	226	534	1537	4373	4151	
Passaic	0.9399999999999999	1	63	35	GP	YES	5	YES	2	323	YES	8	4	6	18	22	54	160	131	65	123	33	79	235	1100	320	717	
Passaic	0.9399999999999999	1	33	3	GP	YES	5	YES	8	385	NO	3	2	4	9	13	45	57	66	34	114	36	51	201	976	344	517	
Passaic	0.9399999999999999	1	34	16	GP	YES	3	NO	2	342	YES	4	3	5	12	14	36	49	97	55	94	104	70	268	739	866	603	
Passaic	0.9399999999999999	1	53	22	GP	YES	5	NO	7	388	YES	4	6	4	14	9	25	53	203	53	69	105	66	240	558	979	605	
Passaic	0.9399999999999999	1	62	30	GP	NO	5	YES	2	263	YES	3	4	5	12	10	38	78	116	37	82	46	63	191	733	424	571	
Passaic	0.9399999999999999	1	58	25	GP	NO	5	YES	1	240	NO	1	3	3	7	4	16	18	94	26	37	52	44	133	302	456	427	
Passaic	0.9399999999999999	1	40	6	RH	YES	2	NO	3	565	YES	3	8	7	18	9	28	62	227	70	75	232	210	517	1370	4256	4055	
Passaic	0.9399999999999999	1	58	18	RH	NO	5	NO	4	562	NO	5	9	6	20	16	51	99	286	47	147	209	123	479	2778	4108	2179	
Passaic	0.9399999999999999	1	36	5	GP	NO	4	NO	14	611	YES	6	2	11	19	16	38	111	56	106	145	82	191	418	1309	738	1648	
Passaic	0.9399999999999999	1	59	28	PD	YES	3	NO	6	271	YES	3	4	5	12	9	25	64	120	55	30	32	32	94	181	182	206	
Passaic	0.9399999999999999	1	54	31	RH	NO	3	NO	2	450	YES	5	3	9	17	15	56	107	85	78	68	105	98	271	1231	1979	1682	
Passaic	0.9399999999999999	1	54	25	RH	NO	5	YES	3	459	YES	4	4	3	11	16	33	88	124	22	99	236	125	460	2037	4474	2165	
Passaic	0.9399999999999999	1	43	17	GP	YES	5	YES	1	196	YES	1	2	4	7	3	8	20	56	52	17	11	59	87	196	83	549	
Passaic	0.9399999999999999	1	62	24	PD	NO	2	NO	1	161	YES	1	2	2	5	2	8	17	59	15	19	23	23	65	102	151	136	
Passaic	0.9399999999999999	1	53	21	PD	NO	4	YES	4	167	NO	3	1	3	7	8	27	58	37	20	17	5	21	43	114	26	123	
Passaic	0.9399999999999999	1	33	17	GP	YES	5	YES	6	390	NO	2	1	4	7	6	22	43	23	40	130	31	80	241	1159	284	660	
Washington	0.89	1	32	15	GP	NO	2	NO	7	482	NO	4	3	5	12	15	44	73	88	46	132	135	106	373	1190	1146	984	
Washington	0.89	1	40	20	GP	NO	1	NO	4	332	NO	1	3	6	10	6	17	16	82	76	32	62	163	257	301	517	1516	
Washington	0.89	1	54	28	PD	NO	3	YES	7	215	NO	3	1	3	7	10	30	72	48	31	31	29	36	96	187	136	194	
Washington	0.89	1	51	23	GP	YES	4	YES	6	406	YES	3	6	5	14	8	30	64	157	54	119	56	71	246	1026	496	661	
Washington	0.89	1	46	33	GP	NO	5	NO	2	273	YES	2	7	3	12	12	32	45	215	26	18	65	31	114	137	556	261	
Washington	0.89	1	43	11	GP	NO	3	NO	4	289	YES	1	3	9	13	1	2	18	94	110	47	24	77	148	394	171	678	
Washington	0.89	1	62	22	RH	NO	5	YES	11	722	NO	6	5	11	22	15	36	115	156	115	135	190	236	561	2666	3960	4778	
Washington	0.89	1	56	28	RH	YES	1	NO	4	520	YES	6	1	7	14	19	58	116	32	85	169	109	177	455	3206	2262	3477	
Washington	0.89	1	32	2	RH	NO	4	NO	4	675	YES	4	8	10	22	10	35	88	237	116	105	214	268	587	2131	4178	5081	
Washington	0.89	1	36	11	GP	YES	5	YES	4	393	NO	6	4	6	16	18	42	109	118	65	99	88	72	259	902	783	684	
Washington	0.89	1	63	38	PD	NO	2	NO	4	268	YES	1	5	6	12	2	5	25	142	50	2	44	53	99	6	259	306	
Washington	0.89	1	40	11	PD	NO	5	YES	2	134	YES	2	1	3	6	6	23	54	27	31	16	10	30	56	79	42	124	
Washington	0.89	1	38	12	GP	NO	2	NO	1	266	YES	4	2	7	13	13	45	84	64	75	53	54	87	194	495	434	841	
Washington	0.89	1	45	18	RH	YES	4	YES	2	426	YES	2	6	3	11	4	13	38	179	31	39	133	61	233	778	2585	1147	
Washington	0.89	1	45	5	RH	NO	4	NO	10	768	YES	5	5	10	20	15	35	94	163	106	162	292	225	679	3019	5551	4365	
Washington	0.89	1	44	21	GP	NO	2	NO	3	296	NO	3	2	6	11	8	26	67	60	69	55	59	77	191	458	532	738	
Washington	0.89	1	46	19	PD	NO	2	NO	9	354	YES	6	3	2	11	22	81	135	75	20	46	33	22	101	281	222	134	
Washington	0.89	1	52	24	RH	YES	5	YES	1	362	NO	2	3	6	11	4	18	36	95	57	79	44	87	210	1644	854	1548	
Washington	0.89	1	41	14	PD	NO	5	YES	4	262	NO	3	4	6	13	16	34	57	127	66	39	37	30	106	288	249	150	
Springfield	0.91	1	54	25	PD	YES	5	YES	6	253	NO	5	2	2	9	17	38	86	57	19	61	19	19	99	369	139	99	
Springfield	0.91	1	49	16	PD	YES	3	NO	4	177	YES	2	2	5	9	4	11	30	53	35	29	20	26	75	178	150	142	
Springfield	0.91	1	38	20	GP	YES	5	NO	4	322	YES	7	4	5	16	20	51	123	101	41	65	85	62	212	625	784	549	
Springfield	0.91	1	53	23	GP	YES	1	NO	5	348	YES	3	5	9	17	5	16	50	150	97	56	74	70	200	533	692	610	
Springfield	0.91	1	45	17	PD	NO	3	YES	2	146	NO	3	1	2	6	8	29	72	39	29	29	9	18	56	196	42	132	
Springfield	0.91	1	43	5	PD	YES	3	YES	5	236	NO	4	3	4	11	15	43	83	86	35	20	15	24	59	116	79	122	
