SMSA	Coverage	DTC	Age	Years	Specialty	Subscribe	Num Hospital	Conference	Practice Size	Visits	Program	Details Nosorr	Details Paenex	Details Other	Total Details	Mention Nosor	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	Rx Nosorr	Rx Paenex	Rx Other	TotalRx	TherDays Nosorr	TherDays Paenex	TherDays Other	
Clearwater	0.99	5	61	34	RH	NO	1	NO	5	605	YES	7	7	7	21	18	48	135	215	59	172	194	212	578	3320	3728	3896	
Clearwater	0.99	5	44	19	PD	YES	5	YES	11	424	NO	7	5	13	25	22	68	167	146	129	40	47	76	163	234	256	387	
Clearwater	0.99	5	43	13	GP	NO	5	YES	6	355	NO	7	2	8	17	27	64	144	64	81	122	45	69	236	1138	394	656	
Clearwater	0.99	5	34	6	GP	NO	2	NO	1	229	YES	5	3	5	13	15	41	115	84	40	50	37	37	124	508	364	390	
Clearwater	0.99	5	31	0	RH	NO	2	YES	9	630	YES	3	3	8	14	9	27	60	79	76	107	163	155	425	1929	2905	3077	
Clearwater	0.99	5	32	4	RH	NO	5	NO	4	464	NO	6	5	7	18	17	52	117	162	60	128	147	115	390	2371	2801	2157	
Clearwater	0.99	5	47	17	RH	YES	5	YES	3	371	NO	3	5	4	12	4	10	68	136	38	51	113	131	295	1033	2027	2449	
Clearwater	0.99	5	31	0	GP	NO	1	NO	6	320	YES	3	4	9	16	13	39	47	129	98	62	61	110	233	581	529	942	
Clearwater	0.99	5	43	9	RH	NO	5	YES	3	446	NO	7	5	15	27	27	94	129	142	155	129	98	146	373	2343	1872	2951	
Clearwater	0.99	5	55	22	GP	YES	5	YES	2	258	NO	3	1	4	8	8	22	59	30	32	35	46	64	145	332	422	589	
Clearwater	0.99	5	33	7	PD	NO	5	NO	2	137	NO	1	2	1	4	4	14	16	81	15	32	32	25	89	168	164	187	
Clearwater	0.99	5	60	26	PD	YES	5	YES	2	104	NO	1	1	3	5	1	1	23	32	40	27	7	7	41	133	32	40	
Clearwater	0.99	5	47	20	GP	YES	5	NO	7	415	NO	6	5	10	21	18	56	126	180	95	64	130	73	267	587	1233	653	
Clearwater	0.99	5	61	21	RH	NO	1	NO	9	652	YES	6	8	12	26	22	56	125	239	114	145	194	135	474	2599	3694	2588	
Clearwater	0.99	5	44	21	RH	NO	0	NO	2	434	YES	7	9	14	30	24	66	160	245	144	96	138	153	387	1844	2717	2871	
Clearwater	0.99	5	55	22	PD	YES	5	YES	4	148	NO	3	2	2	7	12	31	76	65	19	26	27	21	74	205	185	120	
Clearwater	0.99	5	38	8	RH	NO	5	YES	5	536	NO	5	3	7	15	12	43	110	106	71	164	111	198	473	2981	2106	3746	
Clearwater	0.99	5	42	18	PD	NO	1	YES	3	179	YES	1	1	5	7	4	10	20	25	55	11	27	30	68	48	168	184	
Louisville	0.97	5	37	7	RH	YES	4	YES	3	347	YES	6	5	7	18	18	53	148	128	66	65	122	111	298	1065	2427	2115	
Louisville	0.97	5	48	18	PD	YES	5	YES	2	128	NO	4	1	3	8	10	38	64	18	30	19	8	21	48	125	43	102	
Louisville	0.97	5	32	3	GP	YES	5	YES	3	346	NO	8	3	5	16	17	49	146	96	42	43	32	60	135	339	276	563	
Louisville	0.97	5	49	15	RH	YES	4	NO	8	696	NO	9	10	16	35	25	95	182	288	144	169	139	238	546	3214	2694	4696	
Louisville	0.97	5	52	24	GP	YES	5	YES	4	319	NO	2	2	6	10	3	12	57	60	66	66	39	76	181	556	338	619	
Louisville	0.97	5	42	12	PD	NO	5	YES	4	185	NO	3	2	4	9	6	13	65	70	40	25	28	22	75	154	196	130	
Louisville	0.97	5	32	7	GP	NO	5	YES	2	333	NO	1	4	8	13	4	8	28	138	61	16	59	49	124	110	519	446	
Louisville	0.97	5	44	15	GP	NO	2	NO	3	255	YES	3	3	5	11	8	33	60	97	36	62	50	56	168	568	445	511	
