SMSA	Coverage	DTC	Age	Years	Specialty	Subscribe	Num Hospital	Conference	Practice Size	Visits	Program	Details Nosorr	Details Paenex	Details Other	Total Details	Mention Nosor	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	Rx Nosorr	Rx Paenex	Rx Other	TotalRx	TherDays Nosorr	TherDays Paenex	TherDays Other	
Minneapolis	0.88	1.5	49	22	PD	NO	3	YES	4	170	YES	1	3	1	5	3	7	31	95	15	15	17	12	44	87	107	103	
Minneapolis	0.88	1.5	30	0	PD	NO	0	NO	3	159	YES	6	1	3	10	26	79	117	40	38	28	21	11	60	144	129	92	
Minneapolis	0.88	1.5	64	38	RH	YES	5	YES	1	545	NO	8	5	10	23	32	111	146	159	91	210	77	226	513	4124	1338	4283	
Minneapolis	0.88	1.5	48	23	GP	NO	5	YES	3	217	NO	1	3	4	8	3	6	13	89	39	43	82	69	194	416	793	590	
Minneapolis	0.88	1.5	32	0	PD	YES	5	YES	6	329	NO	4	3	5	12	7	25	89	80	39	71	23	54	148	453	114	371	
Minneapolis	0.88	1.5	55	34	GP	YES	5	YES	6	411	NO	2	4	8	14	4	17	36	129	86	110	91	104	305	981	861	896	
Minneapolis	0.88	1.5	56	24	RH	YES	5	YES	5	471	NO	4	4	7	15	16	42	61	131	65	67	87	115	269	1263	1661	1962	
Minneapolis	0.88	1.5	62	22	GP	NO	5	YES	3	232	NO	2	2	5	9	6	11	43	47	47	31	87	63	181	291	739	583	
Minneapolis	0.88	1.5	50	16	RH	YES	3	NO	13	747	YES	10	5	10	25	30	82	205	151	116	228	146	199	573	4408	2877	3871	
Minneapolis	0.88	1.5	35	15	PD	NO	1	NO	6	304	YES	4	4	8	16	14	37	69	113	74	20	24	28	72	139	154	148	
Minneapolis	0.88	1.5	41	11	RH	YES	4	NO	8	699	YES	2	7	12	21	4	18	47	213	117	29	241	207	477	561	4653	4068	
Minneapolis	0.88	1.5	58	31	PD	YES	2	NO	10	387	YES	4	4	10	18	10	41	78	97	110	37	17	56	110	235	118	322	
Minneapolis	0.88	1.5	39	12	PD	NO	5	YES	5	282	NO	2	6	8	16	7	27	52	145	75	34	50	48	132	197	299	309	
Minneapolis	0.88	1.5	64	38	PD	NO	5	YES	5	265	NO	1	2	5	8	3	4	14	59	55	15	63	61	139	87	365	378	
Minneapolis	0.88	1.5	47	16	RH	YES	4	YES	4	610	NO	4	4	8	16	13	34	86	111	93	109	26	130	265	2035	459	2298	
Minneapolis	0.88	1.5	33	0	GP	NO	5	NO	4	351	YES	4	2	5	11	16	49	65	54	62	47	65	87	199	458	636	805	
Minneapolis	0.88	1.5	33	7	GP	NO	4	NO	2	320	YES	5	5	4	14	16	42	102	128	51	42	66	38	146	389	604	343	
Minneapolis	0.88	1.5	44	4	PD	NO	4	YES	6	287	YES	6	3	3	12	13	42	102	76	35	25	30	32	87	113	173	186	
North Charleston	0.77	1	64	37	GP	YES	5	YES	2	292	NO	3	2	1	6	7	18	68	64	8	63	62	13	138	551	561	103	
North Charleston	0.77	1	61	44	GP	NO	3	YES	4	277	NO	3	3	6	12	11	24	59	88	44	34	104	94	232	330	906	862	
North Charleston	0.77	1	33	15	GP	NO	1	NO	3	249	YES	4	6	3	13	15	41	64	187	47	65	66	29	160	558	606	264	
North Charleston	0.77	1	47	19	GP	YES	4	YES	2	258	NO	3	2	2	7	8	22	61	78	18	36	54	23	113	336	518	220	
North Charleston	0.77	1	51	9	PD	NO	3	NO	6	356	YES	5	1	5	11	16	46	73	35	37	50	5	37	92	299	26	197	
North Charleston	0.77	1	45	18	PD	YES	4	NO	1	162	YES	1	4	3	8	6	18	14	117	30	5	37	13	55	59	222	87	
North Charleston	0.77	1	47	27	GP	YES	5	YES	4	321	NO	1	5	7	13	5	13	30	163	77	5	75	52	132	45	735	429	
North Charleston	0.77	1	65	40	GP	YES	4	NO	3	252	YES	2	3	4	9	6	10	29	107	38	57	41	48	146	512	363	457	
North Charleston	0.77	1	51	21	RH	YES	5	YES	8	667	YES	5	4	10	19	19	66	98	116	124	65	185	225	475	1280	3191	4261	
North Charleston	0.77	1	48	15	RH	YES	3	YES	5	578	YES	8	3	4	15	25	72	139	101	38	230	101	81	412	4336	1905	1619	
North Charleston	0.77	1	31	6	GP	NO	5	YES	7	329	NO	3	4	6	13	12	36	57	146	52	55	57	73	185	473	484	654	
North Charleston	0.77	1	49	29	RH	NO	2	NO	15	801	NO	5	7	14	26	20	66	108	214	153	113	167	288	568	2251	3126	5660	
North Charleston	0.77	1	41	17	PD	NO	5	YES	6	266	NO	2	4	5	11	5	11	49	133	36	17	22	24	63	107	144	147	
North Charleston	0.77	1	40	12	RH	NO	3	YES	5	632	YES	6	5	7	18	19	50	133	139	86	88	209	179	476	1599	3951	3378	
North Charleston	0.77	1	49	25	GP	NO	2	NO	7	434	YES	6	6	11	23	22	55	107	185	118	57	101	127	285	526	915	1142	
North Charleston	0.77	1	30	1	GP	NO	2	NO	1	332	YES	3	3	9	15	12	51	61	91	85	37	97	91	225	314	790	776	
North Charleston	0.77	1	33	0	RH	YES	5	YES	2	431	NO	2	6	5	13	5	16	39	149	54	65	105	82	252	1221	2038	1573	
North Charleston	0.77	1	65	40	PD	YES	3	YES	4	227	YES	1	1	3	5	2	4	22	31	38	18	42	37	97	122	239	224	
North Charleston	0.77	1	42	19	GP	NO	3	NO	7	395	YES	2	2	14	18	12	32	32	60	146	35	11	142	188	337	101	1267	
Durham	0.85	2	31	8	PD	YES	5	YES	3	148	NO	3	3	5	11	7	23	49	94	41	12	9	22	43	62	38	144	
Durham	0.85	2	32	0	GP	YES	5	NO	8	447	YES	5	8	7	20	19	58	100	248	71	89	123	90	302	757	1051	763	
Durham	0.85	2	47	24	RH	YES	4	YES	3	424	NO	4	3	10	17	23	65	74	94	86	73	74	119	266	1454	1377	2289	
Durham	0.85	2	46	9	RH	NO	5	NO	5	448	NO	6	2	6	14	20	67	123	72	53	75	74	123	272	1434	1381	2283	
Durham	0.85	2	45	16	RH	NO	1	NO	8	578	YES	6	4	8	18	20	65	115	126	78	199	133	174	506	3717	2535	3268	
Durham	0.85	2	58	27	PD	NO	5	NO	8	364	NO	3	2	5	10	14	33	51	70	44	54	32	72	158	333	150	362	
Durham	0.85	2	42	10	RH	NO	3	NO	3	463	YES	5	2	6	13	19	62	107	64	45	123	59	73	255	2193	1052	1379	
Durham	0.85	2	59	35	RH	YES	5	YES	4	469	NO	2	5	3	10	3	8	48	149	35	132	80	87	299	2526	1309	1540	
Durham	0.85	2	46	19	GP	YES	4	NO	4	343	NO	3	6	4	13	10	42	50	186	56	55	42	77	174	508	402	682	
Durham	0.85	2	31	0	PD	YES	5	YES	5	248	NO	3	2	4	9	10	27	60	63	41	35	11	38	84	205	44	249	
Durham	0.85	2	35	10	GP	YES	5	YES	7	473	NO	2	2	8	12	9	27	38	48	69	45	73	152	270	333	603	1332	
Durham	0.85	2	37	8	RH	NO	1	NO	3	491	YES	4	6	9	19	13	46	88	177	74	52	156	103	311	985	2758	1991	
Durham	0.85	2	46	13	GP	NO	3	NO	3	336	YES	2	2	4	8	8	20	43	78	33	110	41	65	216	1037	378	498	
Durham	0.85	2	36	1	PD	YES	4	NO	3	142	NO	1	2	4	7	3	13	22	60	39	19	8	11	38	135	50	41	
Durham	0.85	2	59	36	RH	NO	3	NO	7	749	YES	9	4	11	24	29	99	184	113	112	181	155	263	599	3384	2947	4890	
Durham	0.85	2	39	15	RH	YES	2	NO	4	561	YES	5	6	11	22	12	34	100	154	102	121	77	166	364	2434	1556	3034	
Durham	0.85	2	32	1	GP	NO	5	YES	1	186	NO	2	3	4	9	7	26	28	79	39	40	41	30	111	384	395	277	
Durham	0.85	2	62	28	PD	YES	2	NO	9	344	YES	3	3	4	10	6	20	75	93	35	25	58	40	123	120	340	262	
Durham	0.85	2	44	17	PD	NO	5	YES	4	218	NO	3	1	5	9	11	29	62	27	52	36	25	22	83	233	143	100	
Durham	0.85	2	56	30	RH	YES	5	NO	2	546	NO	5	6	16	27	10	30	95	164	155	96	57	178	331	1897	1151	3310	
Atlanta	0.98	2	63	29	GP	NO	4	YES	10	450	NO	2	2	6	10	9	27	35	76	66	61	63	184	308	463	612	1665	
Atlanta	0.98	2	30	0	GP	NO	5	YES	2	223	NO	1	4	3	8	6	18	29	110	28	23	74	32	129	207	584	308	
Atlanta	0.98	2	56	31	GP	YES	2	NO	4	227	YES	2	4	3	9	7	23	38	122	22	41	40	33	114	352	385	296	
Atlanta	0.98	2	60	32	GP	YES	5	NO	2	320	NO	2	2	5	9	5	16	28	58	37	91	73	104	268	755	639	912	
Atlanta	0.98	2	41	18	GP	NO	4	YES	9	553	YES	5	3	8	16	17	44	114	88	68	45	92	113	250	447	839	1022	
Atlanta	0.98	2	58	26	RH	NO	2	NO	2	542	YES	3	9	8	20	8	28	74	255	72	84	174	189	447	1534	3318	3747	
Atlanta	0.98	2	31	2	RH	NO	5	YES	1	509	YES	10	4	6	20	28	99	191	144	91	95	77	155	327	1674	1465	3023	
Atlanta	0.98	2	49	18	RH	NO	5	YES	2	444	NO	6	4	2	12	26	63	108	106	23	82	107	30	219	1484	2066	632	
Atlanta	0.98	2	38	15	RH	YES	5	YES	9	776	NO	4	10	19	33	10	24	76	275	177	70	309	230	609	1193	5963	4540	
Atlanta	0.98	2	57	35	RH	YES	2	NO	4	532	YES	5	4	9	18	11	21	145	140	85	128	72	146	346	2615	1374	2840	
Atlanta	0.98	2	32	1	GP	NO	4	YES	6	397	NO	4	5	5	14	12	32	100	160	57	55	115	55	225	441	1016	567	
Atlanta	0.98	2	60	31	RH	YES	4	NO	1	393	NO	2	4	9	15	6	18	48	113	75	8	57	97	162	137	1091	1668	
Atlanta	0.98	2	40	13	GP	YES	5	YES	4	286	YES	3	4	3	10	9	34	75	125	27	95	60	73	228	837	500	657	
Atlanta	0.98	2	45	6	RH	NO	0	NO	1	408	YES	2	1	5	8	14	32	54	39	60	61	40	157	258	1193	703	2957	
Atlanta	0.98	2	64	36	RH	YES	4	NO	7	589	YES	8	5	9	22	21	59	165	111	81	155	172	208	535	2870	3148	3841	
Atlanta	0.98	2	56	30	RH	YES	0	YES	6	589	NO	4	2	11	17	17	48	75	65	107	130	72	178	380	2420	1404	3367	
Atlanta	0.98	2	45	21	GP	NO	3	NO	2	285	YES	4	1	8	13	8	23	72	36	90	74	26	98	198	649	228	903	
Atlanta	0.98	2	50	24	RH	NO	5	YES	3	511	YES	4	5	7	16	9	28	84	149	71	164	131	175	470	3069	2486	3309	
